'CODPRO','REFPRO','NOMPRO','PERAVI','PERPRA','DATCAD','DATEXP','INATIV'
164,'BB33C','BRINQ.MUSICAL PIANO MUS INFAN REF:BB33C','61,98','61,98','08/08/2011 12:03:19','07/02/2013 01:15:08','N'
165,'BB45D','BRINQ.MUSICAL PIANO MUS INFAN REF:BB45D','62,00','62,00','08/08/2011 12:03:57','07/02/2013 01:15:08','N'
166,'BB88A/C','BRINQ. PIANO MUS INFAN REF:BB88A','61,99','61,99','08/08/2011 12:04:50','07/02/2013 01:15:08','N'
167,'BB55C','BRINQ. PIANO MUS INFAN REF:BB55C','61,98','61,98','08/08/2011 12:05:22','07/02/2013 01:15:08','N'
168,'BB52A','BRINQ.PIANO MUS INFAN REF:BB52A','62,02','62,02','08/08/2011 12:06:12','07/02/2013 01:15:08','N'
169,'BB33A','BRINQ. PIANO MUS INFAN REF:BB33A','61,98','61,98','08/08/2011 12:07:52','07/02/2013 01:15:08','N'
170,'BB53','BRINQ.MUSICAL GUITA MUS INFAN REF:BB53','62,00','62,00','08/08/2011 12:09:28','07/02/2013 01:15:08','N'
171,'BB62','BRINQ.MUSICAL GUITA MUS INFAN REF:BB62','61,99','61,99','08/08/2011 12:10:45','07/02/2013 01:15:08','N'
172,'BB97','BRINQ.MUSICAL GUITA MUS INFAN REF:BB97','62,01','62,01','08/08/2011 12:11:21','07/02/2013 01:15:08','N'
173,1199,'MICROFONE INF.','67,39','67,39','08/08/2011 13:52:20','07/02/2013 01:15:08','N'
174,,'BRINQ.MUSICAL  REF:','0,00','0,00','08/08/2011 13:52:21','07/02/2013 01:15:08','N'
175,88632,'BRINQ.MICROFONE INF. REF:1180A CX-24PCS','65,86','65,86','08/08/2011 14:04:39','07/02/2013 01:15:08','N'
176,'1182A','BRINQ.MUS. MICROF. INF. REF:1182A','65,86','65,86','08/08/2011 14:05:55','07/02/2013 01:15:08','N'
177,1183,'BRINQ.MUS. MICROF. INFAN REF:1183','62,44','62,44','08/08/2011 14:06:29','07/02/2013 01:15:08','N'
178,1193,'BRINQ.MUS. MIC. INFAN REF:1193','64,64','64,64','08/08/2011 14:07:00','07/02/2013 01:15:08','N'
179,1195,'BRINQ.MUS. MIC. INFAN REF:1195','62,44','62,44','08/08/2011 14:07:38','07/02/2013 01:15:08','N'
180,'1990C','BRINQ.MUSI. MIC. INFAN REF:1990C','62,29','62,29','08/08/2011 14:08:28','07/02/2013 01:15:08','N'
181,'QX-1992','BRINQ. MICROF. MUSIC REF:QX-1992','67,29','67,29','08/08/2011 14:09:24','07/02/2013 01:15:08','N'
189,'HELICES 735-75B','PECAS REP. PEÇAS REPO HELI REF:HELICES 735-75B','0,00','0,00','22/08/2011 16:16:37','07/02/2013 01:15:08','N'
182,'QX-1993','BRINQ. MICROF. MUSIC REF:QX-1993','70,14','70,14','08/08/2011 14:11:19','07/02/2013 01:15:08','N'
183,1991,'BRINQ.MUSI MIC. MUSIC REF:1991','62,29','62,29','08/08/2011 14:11:49','07/02/2013 01:15:08','N'
184,'LF728ABCD','BRINQ.MUSICAL BRINQ. MUS INFA REF:LF728ABCD','61,82','61,82','08/08/2011 14:12:54','07/02/2013 01:15:08','N'
185,7755,'BRINQ.MUSICAL BRINQ MUS INFAN REF:7755','20,01','44,02','08/08/2011 14:13:42','07/02/2013 01:15:08','N'
190,'HELICES 735-80A','PECAS REP. PECAS REPO HELI REF:HELICES 735-80A CX-20PCS','0,00','0,00','22/08/2011 16:17:32','07/02/2013 01:15:08','N'
186,739,'BRINQ.MUSICAL CASINHA MUSICAL REF:739','29,41','29,41','08/08/2011 14:14:41','07/02/2013 01:15:08','N'
187,506,'BRINQ. ROBO MUS. REF:506','37,59','37,59','08/08/2011 14:15:20','07/02/2013 01:15:08','N'
188,776,'BRINQ.MUSICAL CASINHA MUSICAL REF:776','35,74','35,74','08/08/2011 14:15:53','07/02/2013 01:15:08','N'
962,200117,'BASTAO BRASILEIRINHA 7,5X30CM 500G REF:200117','42,42','60,00','03/10/2012 10:37:57','07/03/2013 10:24:25','N'
