'MATPRO','NOMPRO','VENAVI','VENPRA','DATCAD','DATEXP','INATIV'
'CX-12PCS','BRINQ. CARR CONT.REM. REF:3699-A8/A10','71,49','71,49','01/07/2011 12:24:58','07/02/2013 01:15:08','N'
'CX-1800PCS','BRINQ. FEIJAO MAG. 2PCS REF:SB-011','1,39','1,39','01/07/2011 12:26:56','07/02/2013 01:15:08','N'
'CX-360PCS','BRINQ. FEIJAO MAG. 3 PEÃ‡AS  REF:SB-010','2,89','2,89','01/07/2011 12:28:54','07/02/2013 01:15:08','N'
'CX-240PCS','BRINQ. FEIJAO MAGICO 6 PC REF:SB-009','3,99','3,99','01/07/2011 12:29:45','07/02/2013 01:15:08','N'
,'ARARA DE PELUCIA C/ CORAÃ‡AO REF:74428','7,67','8,77','08/10/2012 11:28:03','07/03/2013 09:48:50','N'
'CX-36PCS','BRINQ. PIANO MUS INFAN REF:28058','29,11','29,11','08/08/2011 11:47:25','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQ. PIANO MUS INFAN REF:28027','45,75','45,75','08/08/2011 11:49:24','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. PIANO MUS INFAN REF:28061','39,71','39,71','08/08/2011 11:52:41','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. PIANO MUS INFAN REF:SD952','24,28','24,28','08/08/2011 11:56:02','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. PIANO MUS INFAN REF:CY5091B','20,56','20,56','08/08/2011 11:57:03','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. PIANO MUS INFAN REF:3008','16,79','16,79','08/08/2011 11:57:52','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ.GUITARRA  MUS INFAN REF:5094B','23,63','23,63','08/08/2011 11:58:25','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. PIANO MUS INFAN REF:CY-840B','12,16','14,59','08/08/2011 11:59:20','07/02/2013 01:15:08','N'
'CX-72PCS','BRINQ. PIANO MUS INFAN REF:CY-890C','20,73','20,73','08/08/2011 12:00:23','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. PIANO MUS INFAN REF:CY-6007C','23,63','23,63','08/08/2011 12:01:13','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ.PIANO MUS INFAN REF:810B','21,07','21,07','08/08/2011 12:02:03','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ.MUSICAL PIANO MUS INFAN REF:6600','15,55','18,66','08/08/2011 12:02:41','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ.MUSICAL PIANO MUS INFAN REF:BB33C','98,5','98,5','08/08/2011 12:03:19','07/02/2013 01:15:08','N'
'CX-6PCS','BRINQ.MUSICAL PIANO MUS INFAN REF:BB45D','154,19','154,19','08/08/2011 12:03:57','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. PIANO MUS INFAN REF:BB88A','95,09','95,09','08/08/2011 12:04:50','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. PIANO MUS INFAN REF:BB55C','87,37','87,37','08/08/2011 12:05:22','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ.PIANO MUS INFAN REF:BB52A','82,24','82,24','08/08/2011 12:06:12','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. PIANO MUS INFAN REF:BB33A','98,5','98,5','08/08/2011 12:07:52','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ.MUSICAL GUITA MUS INFAN REF:BB53','75,38','75,38','08/08/2011 12:09:28','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ.MUSICAL GUITA MUS INFAN REF:BB62','77,09','77,09','08/08/2011 12:10:45','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ.MUSICAL GUITA MUS INFAN REF:BB97','69,39','69,39','08/08/2011 12:11:21','07/02/2013 01:15:08','N'
'CX-24PCS','MICROFONE INF.','39,99','39,99','08/08/2011 13:52:20','07/02/2013 01:15:08','N'
,'BRINQ.MUSICAL  REF:',0,0,'08/08/2011 13:52:21','07/02/2013 01:15:08','N'
,'BRINQ.MICROFONE INF. REF:1180A CX-24PCS','25,99','25,99','08/08/2011 14:04:39','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ.MUS. MICROF. INF. REF:1182A','25,99','25,99','08/08/2011 14:05:55','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ.MUS. MICROF. INFAN REF:1183','34,99','34,99','08/08/2011 14:06:29','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ.MUS. MIC. INFAN REF:1193','39,99','39,99','08/08/2011 14:07:00','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ.MUS. MIC. INFAN REF:1195','41,99','41,99','08/08/2011 14:07:38','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ.MUSI. MIC. INFAN REF:1990C','21,99','21,99','08/08/2011 14:08:28','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. MICROF. MUSIC REF:QX-1992','23,99','23,99','08/08/2011 14:09:24','07/02/2013 01:15:08','N'
'CX-10PÃ‡S','PECAS REP. PEÃ‡AS REPO HELI REF:HELICES 735-75B',0,0,'22/08/2011 16:16:37','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. MICROF. MUSIC REF:QX-1993','23,99','23,99','08/08/2011 14:11:19','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ.MUSI MIC. MUSIC REF:1991','21,99','21,99','08/08/2011 14:11:49','07/02/2013 01:15:08','N'
'CX-96PCS','BRINQ.MUSICAL BRINQ. MUS INFA REF:LF728ABCD','9,58','9,58','08/08/2011 14:12:54','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ.MUSICAL BRINQ MUS INFAN REF:7755','16,25','19,5','08/08/2011 14:13:42','07/02/2013 01:15:08','N'
'CX-20PCS','PECAS REP. PECAS REPO HELI REF:HELICES 735-80A CX-20PCS',0,0,'22/08/2011 16:17:32','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQ.MUSICAL CASINHA MUSICAL REF:739','62,4','62,4','08/08/2011 14:14:41','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. ROBO MUS. REF:506','26,1','26,1','08/08/2011 14:15:20','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ.MUSICAL CASINHA MUSICAL REF:776','33,99','33,99','08/08/2011 14:15:53','07/02/2013 01:15:08','N'
,'BASTAO BRASILEIRINHA 7,5X30CM 500G REF:200117','7,99','8,98','03/10/2012 10:37:57','07/03/2013 10:24:25','N'
,'BATERIA 9V CX/24 REF:ALPC60011','15,39','17,67','17/11/2012 10:11:25','06/03/2013 15:21:24','N'
,'CANETINHA GEL C/12 SEM TROCA','1,35','1,7','24/09/2012 09:53:40','07/02/2013 01:15:08','N'
,'GARRAFA TERM. C/ 2 CANECAS REF:ST-855','7,97','7,97','24/09/2012 10:53:39','07/02/2013 01:15:08','N'
,'RADIO AM/FM EUROSUN MOS G1477-1 REF:EDX-7245A','4,05','4,65','12/06/2012 11:32:13','06/03/2013 11:23:19','N'
,'BASTAO BRASILEIRINHA 11,2X30CM 500G. REF:200118','7,99','8,98','03/10/2012 10:39:08','07/03/2013 10:24:01','N'
